Date,0,1,2,3,4,5,6,7,8
11/25/2008,0.641239021,-0.062747226,-1.270324549,-1.605757493,1.148956603,0.337663865,1.064860806,19.88573934,99.88036663
11/24/2008,-0.891155443,-0.616053115,-1.634702837,-1.394949071,1.590202093,0.452063625,1.19967775,19.8891317,99.9557883
11/21/2008,-0.388191757,-0.457259605,-1.709222215,-1.105664723,2.009982649,0.56330129,1.334472867,19.89136543,100.0312141
11/20/2008,0.33315372,0.140098516,-1.515647247,-0.730187159,2.403582985,0.670712928,1.46920093,19.8924391,100.1066432
11/19/2008,1.587516549,0.653263423,-1.10848091,-0.29046656,2.766287818,0.773634604,1.60381671,19.89235127,100.1820751
11/18/2008,1.097620033,0.688143588,-0.541563351,0.184130025,3.093381862,0.871402386,1.738274981,19.89110037,100.2575091
11/17/2008,-0.072327315,0.343937497,0.116490057,0.664235548,3.380149834,0.96335234,1.872530515,19.88868471,100.3329448
11/14/2008,-1.063488222,-0.135680215,0.737963032,1.120482961,3.621876448,1.048820533,2.006538084,19.88510259,100.4083818
11/13/2008,-1.167893159,-0.496020282,1.174990406,1.523505215,3.81384642,1.127143032,2.140252462,19.88035225,100.4838197
11/12/2008,-1.877572597,-0.493311221,1.290624796,1.843935262,3.951344466,1.197655903,2.273628419,19.87443194,100.559258
11/11/2008,-1.197321678,-0.105282935,1.071362314,2.053238612,4.0296553,1.259695214,2.40662073,19.86733989,100.6346965
11/10/2008,1.546934779,0.245343114,0.551509002,2.131161081,4.044063638,1.312597031,2.539184166,19.85907438,100.7101348
11/7/2008,0.829947113,0.135469209,-0.135530844,2.076887071,3.9909311,1.355814777,2.6712735,19.84963373,100.7855723
11/6/2008,-1.009863028,-0.115438932,-0.737545744,1.888997405,3.871703523,1.389271305,2.802843505,19.83901628,100.8610087
11/5/2008,0.722273933,-0.103433671,-0.983142069,1.561772229,3.692010072,1.413006822,2.933848952,19.82722042,100.9364433
11/4/2008,-0.012755045,0.088463647,-0.69963406,1.098242555,3.458225749,1.427092298,3.064244615,19.81424451,101.0118757
11/3/2008,-0.283174025,0.054491629,-0.044782523,0.543770033,3.176602516,1.431721749,3.193985266,19.80008695,101.0873054
10/31/2008,0.199610767,-0.233458699,0.616078231,-0.033209443,2.85336157,1.427124391,3.323021238,19.78474617,101.1627318
10/30/2008,-0.2232741,0.158640903,0.853712384,-0.575008479,2.49472411,1.413548551,3.451283752,19.76822056,101.2381543
10/29/2008,-0.043116801,0.66279419,0.67793126,-1.038553588,2.106911335,1.391253688,3.578692899,19.75050856,101.3135725
10/28/2008,0.483750512,0.742732771,0.252626891,-1.401517878,1.696144441,1.360505735,3.705162295,19.73160859,101.3889856
10/27/2008,0.580666785,0.133942593,-0.254983543,-1.646355037,1.268644628,1.321572852,3.83060333,19.71151907,101.4643933
10/24/2008,0.728099784,-0.829746768,-0.683151311,-1.755518752,0.830633094,1.274726991,3.9549236,19.69023844,101.5397949
10/23/2008,-0.751840699,-1.325083127,-0.871172314,-1.711491201,0.388359527,1.220241053,4.078029755,19.66776513,101.6151899
10/22/2008,0.682173015,-0.706771993,-0.709515138,-1.506609408,-0.052166049,1.158387937,4.199828444,19.64409759,101.6905776
10/21/2008,-0.553417796,-0.409582679,-0.293339111,-1.172719175,-0.485802889,1.089440543,4.320226316,19.61923428,101.7659575
10/20/2008,0.434891996,0.005952847,0.231023758,-0.75347414,-0.905696918,1.013671771,4.439130019,19.59317365,101.841329
10/17/2008,-0.390935987,1.300810123,0.717241458,-0.293044683,-1.304477323,0.931354522,4.556446204,19.56591414,101.9166915
10/16/2008,0.445267295,1.751783272,1.018981977,0.164398814,-1.674773289,0.842761695,4.672081519,19.53745429,101.9920444
10/15/2008,-0.07444823,1.625491859,1.02419597,0.574685974,-2.009214003,0.748166191,4.785942614,19.50779272,102.0673869
10/14/2008,-0.736944837,1.327060632,0.764227366,0.900665165,-2.30042865,0.64784091,4.897936137,19.47692811,102.1427182
10/13/2008,0.172057035,0.923055374,0.329753227,1.13325975,-2.541046419,0.542059817,5.007967672,19.44485912,102.2180374
10/10/2008,0.968556882,-0.04495243,-0.182286768,1.271187122,-2.724471775,0.431101143,5.115938537,19.41158442,102.2933439
10/9/2008,-0.964029855,-1.352803243,-0.67495294,1.316265803,-2.847210314,0.315244185,5.221748986,19.37710268,102.3686367
10/8/2008,0.87066957,-0.921885887,-1.048725555,1.271883485,-2.907336802,0.194768239,5.325299271,19.34141257,102.4439151
10/7/2008,-0.737045158,0.422303749,-1.193890751,1.145012837,-2.906497624,0.069939242,5.426489644,19.30451275,102.5191783
10/6/2008,0.628503799,1.036792958,-0.999966179,0.946365255,-2.848833245,-0.058914336,5.525220358,19.2664019,102.5944255
10/3/2008,-0.585536555,0.559647612,-0.434697948,0.692818258,-2.739355981,-0.190995278,5.621385359,19.22707867,102.6696559
